Date,Open,High,Low,Close,Adj Close,Volume,Return
2000-01-03,148.25,148.25,143.875,145.4375,96.55510711669922,8164300,
2000-01-04,143.53125,144.0625,139.640625,139.75,92.77921295166016,8089800,-3.9106105081271436
2000-01-05,139.9375,141.53125,137.25,140.0,92.94514465332033,12177900,0.17884577415701042
2000-01-06,139.625,141.5,137.75,137.75,91.4513931274414,6227200,-1.6071323913158908
2000-01-07,140.3125,145.75,140.0625,145.75,96.76251220703124,8066500,5.807586848008484
2000-01-10,146.25,146.90625,145.03125,146.25,97.094482421875,5741700,0.3430773005701715
2000-01-11,145.8125,146.09375,143.5,144.5,95.93267059326172,7503700,-1.1965786310752624
2000-01-12,144.59375,144.59375,142.875,143.0625,94.97834777832033,6907700,-0.9947839552883475
2000-01-13,144.46875,145.75,143.28125,145.0,96.26464080810548,5158300,1.354301332749408
2000-01-14,146.53125,147.46875,145.96875,146.96875,97.5716552734375,7437300,1.3577305793281091
2000-01-18,145.34375,146.625,145.1875,145.8125,96.80403137207033,6488500,-0.7867283784578238
2000-01-19,145.3125,147.0,145.0,147.0,97.59243774414062,6157900,0.8144354743244486
2000-01-20,146.96875,146.96875,143.8125,144.75,96.0986099243164,5800100,-1.5306798911413622
2000-01-21,145.5,145.5,144.0625,144.4375,95.89118194580078,6244800,-0.21584909363308036
2000-01-24,145.65625,145.84375,139.40625,140.34375,93.17334747314452,7896900,-2.834290304391518
2000-01-25,140.515625,141.9375,139.0,141.9375,94.23147583007812,9942500,1.1356556200136536
2000-01-26,141.0,141.546875,140.09375,140.8125,93.48458099365234,5158100,-0.7926171481943189
2000-01-27,141.84375,142.21875,138.125,140.25,93.11109924316406,10922700,-0.3995116055701686
2000-01-28,139.4375,140.0625,135.53125,135.875,90.2065887451172,11916200,-3.1194030804658324
2000-01-31,135.8125,139.671875,135.0,139.5625,92.65473175048828,10768700,2.713929258857606
2000-02-01,139.75,141.6875,138.53125,140.9375,93.56755828857422,8419900,0.9851914962574204
2000-02-02,141.28125,142.25,140.375,141.0625,93.65055084228516,6205900,0.08869800091926283
2000-02-03,140.875,143.25,140.0,143.1875,95.06133270263672,7997500,1.5064319938997706
2000-02-04,143.1875,144.0,142.125,142.59375,94.66712951660156,4925400,-0.41468299973057565
2000-02-07,142.5625,142.78125,141.4375,142.375,94.52194213867188,5845800,-0.1533661986700796
