,Return,SkewT,GJR,E
1,-7.192557601231164,4.261502078630144,4.259492845880406,4.362713238070808
2,-6.984264508683835,4.693491035504905,4.599287483058219,4.955775660969355
3,3.573491642945359,5.018142705543025,4.858607850592594,5.4554441682727015
4,-2.46585445473928,4.888676977023396,4.761579386250866,5.500839243430991
5,0.8352101649706567,4.718720226147048,4.599233816343433,5.369973232122253
6,8.364741783421215,4.486501274104847,4.3853218802223655,5.039028815837335
7,-2.8880814347395978,5.0142135438479505,4.986330023959578,5.876310638369168
8,-2.7483091679796234,4.861059163257153,4.830731678044072,5.761939012100583
9,-1.736994378879475,4.710393592666951,4.678310061622927,5.641210222237795
10,-1.2128327693262777,4.515430129721448,4.48977551421079,5.410492442719093
11,-5.591457216687113,4.312575047302101,4.295421087857549,5.138809837626888
12,-0.454420890480145,4.498892552384355,4.428848155939255,5.434141815370176
13,3.0567238732558177,4.278656277623087,4.222454920533353,5.072169515428492
14,-0.8603337970520819,4.171384089707097,4.1358624704195215,5.078479707819984
15,-2.22697222086099,3.978913737225685,3.9528233817909246,4.795240876099589
16,-4.148536263261304,3.8615819778336147,3.833382099258527,4.699621625071932
17,-8.524332054467354,3.927673110554564,3.869311022193042,4.8514812721233795
18,-2.5408487399317115,4.668921771561543,4.487961446086575,5.576640379255439
19,2.985554258083245,4.51947761896021,4.3480838937276545,5.447880503461036
20,1.8504665621736027,4.388287232280233,4.246328004265236,5.409173729398722
21,4.983235561959076,4.204701134369547,4.0840491300419055,5.213912929853309
22,3.424377642532228,4.287085656053496,4.207915033926784,5.491978843643735
23,-0.9489705523839986,4.207102156773108,4.1526020618037816,5.512318588315893
24,0.2038376510340001,4.014934042605619,3.970689196878073,5.200656185170645
25,4.485245473017008,3.817622522129376,3.7849583711648824,4.800058296473218
26,3.1343339653187696,3.8889692092111425,3.8836496447739774,5.043350107054069
27,2.6781810112118443,3.8203771466078065,3.83136794341164,5.063549302614845
28,-1.5209381938148914,3.7231756368741986,3.747017046464363,5.016303409487336
29,-3.0946924386217045,3.584295958909303,3.607858163703519,4.816273124978708
30,0.3142012804338456,3.5702851359812375,3.5732207723900493,4.824906123956576
31,2.00230107685242,3.3990822011038486,3.4095000701901594,4.472204205758382
32,-0.4843619645193642,3.2911223217169656,3.310923889533117,4.382499622178863
33,-1.720204787552615,3.143123206217383,3.1672503899040163,4.116855032277461
34,0.9481656731152864,3.058093154665561,3.0763878844696544,4.0206173847402065
35,-0.858274545359361,2.927831627953438,2.9513691010810557,3.823903603817723
36,-6.457126822962156,2.8141998612657897,2.838278337153407,3.650466786350684
37,-0.0200858129960623,3.4327058873977125,3.3421008109015076,4.220067008555992
38,-3.090319409850706,3.2698334652841474,3.1913270493323247,3.9150219702309395
39,2.140407347467921,3.2882219674109154,3.1956347735427637,4.006016357504754
40,-0.4835006905739236,3.1971367758065896,3.1219546812200862,3.9776164166565247
41,1.3113716357861849,3.0549339045954307,2.989212979732305,3.7470226438828425
42,-6.15936763526368,2.9372443828904524,2.8828445671964316,3.624261613445647
43,2.894591678226255,3.466583375210511,3.3265786579156433,4.154504190426718
44,-2.0225535163465924,3.416035441708852,3.3026488622838164,4.221884843643765
45,-3.7160037210550954,3.32929580063412,3.2187973387772097,4.152916656259423
46,0.0439004798792774,3.4100021184292375,3.27982646492413,4.301305816013333
47,0.5099810100901436,3.248154483447368,3.1322551151880145,3.9818947952349006
48,0.8969571209719529,3.097628081555849,2.994870499484453,3.7289123914969076
49,2.721393533736638,2.963490275923805,2.8733025052572665,3.5503833281782335
50,2.887900040604885,2.9453898161044827,2.876268126424508,3.6476290470850934
51,-1.9682784596788183,2.944593122401678,2.8957123460281062,3.7606536162842215
52,0.8974484091493373,2.8935290770284188,2.8401113483001392,3.7260313011674002
53,5.14518612438124,2.772458149661046,2.7279659113863115,3.5478175850902907
54,1.0075326995947045,3.096507641294406,3.090795282998568,4.022588733258096
55,0.2101241865214875,2.965477198914402,2.966694003130483,3.8338520437646495
56,15.19356972535464,2.8300682610839467,2.8366033316336767,3.553315523079775
57,-0.667204784236497,5.54495893583762,5.682041873652223,6.054571255722735
58,-5.446894835320326,5.268277005708442,5.411093925929576,5.6613948494425035
59,-5.450984603818732,5.317424345645159,5.407041647078677,5.88637890088544
60,3.123627295980569,5.36153075541893,5.403753075906734,6.0898289231089064
61,-0.1222018648608824,5.176508440074321,5.23457923831155,6.01114725184141
62,-3.1517139000605376,4.914352091133098,4.9822336876694875,5.559308941513667
63,1.4277780416720232,4.7870564748649915,4.84195306645736,5.506341254203347
64,-5.9689129758029535,4.563918591984616,4.628481957236301,5.243930039415182
65,-1.9539471456759827,4.765049793881703,4.762622193108255,5.578166540535274
66,0.5905752724699953,4.576456809664049,4.577261112541002,5.378930489648492
67,4.151927933138033,4.349249394715991,4.361187322552802,5.0142027096155015
68,2.537728010287066,4.3275547909937915,4.35998773443357,5.186650634381474
69,-0.4120469378375846,4.1826128773332245,4.227115699543451,5.1081376200951
70,-1.859073972939984,3.980065551427158,4.031173987844952,4.770287742213382
71,0.3529110209242958,3.8407138708278055,3.8881965294290355,4.632593433745878
72,1.8332505458648285,3.6539212624702233,3.707420039905777,4.301947638843382
73,-0.2539517316604289,3.518639973764994,3.5789099910434676,4.203580679693977
74,0.6807086652250272,3.352905402506122,3.416820071947215,3.9268470512093163
75,0.3168913008591234,3.1984541237888964,3.26580760742949,3.701735774038783
76,0.5458232411423625,3.049318219974901,3.1191784270528333,3.4467946695258362
77,-1.653486654186953,2.911326942892838,2.9830145072941017,3.244447151495479
