,Return,SkewT,GJR,E
1,-3.910610508127144,2.0809409433170907,2.0752871833444893,2.0462172386536923
2,0.1788457741570104,2.4165035128027625,2.7206849154829755,2.595491428379957
3,-1.6071323913158908,2.2493532110863126,2.5446283093768955,2.3854797747492666
4,5.807586848008484,2.180345691555238,2.5085647581532706,2.460222669118321
5,0.3430773005701715,2.908747463771454,2.3468578146372985,2.2065465859471414
6,-1.1965786310752624,2.70772728894382,2.1961293774177184,2.034140478156926
7,-0.9947839552883476,2.5607175979420695,2.139486116014795,2.077515872172522
8,1.354301332749408,2.4138227564069146,2.0632726603819957,2.082919577361325
9,1.3577305793281091,2.294532542346037,1.9319051632984818,1.9122352418525834
10,-0.7867283784578238,2.186545555021806,1.809566833219592,1.7580550458223845
11,0.8144354743244486,2.0591166003894172,1.7410665313830285,1.7615405062660188
12,-1.5306798911413622,1.9365047378510796,1.6319366904810833,1.6273146952100692
13,-0.2158490936330803,1.8947286636141276,1.7062568044825686,1.7715573672716696
14,-2.834290304391518,1.768002775026186,1.6039783161991448,1.6824491536530288
15,1.1356556200136536,1.955438176899519,2.0443879660849915,2.067245493673888
16,-0.7926171481943189,1.8620932994895092,1.91431575232879,1.9003516397505156
17,-0.3995116055701686,1.7626249693391898,1.8367803741849957,1.8906473978260094
18,-3.1194030804658324,1.6512828573751674,1.7335155926502008,1.8188560555308517
19,2.713929258857606,1.9255559728626286,2.226420401722501,2.241243759984848
20,0.9851914962574204,2.034580130549428,2.08389555639865,2.0409723318477115
21,0.0886980009192628,1.9237321073882376,1.9511145154972256,1.8781973636571891
22,1.5064319938997706,1.7919132350140528,1.8274530152762374,1.74044631835812
23,-0.4146829997305756,1.7494642774328275,1.7123289288325707,1.6010316108027856
24,-0.1533661986700796,1.6397300583206815,1.619556970403334,1.5593958993967576
25,1.3607922396801089,1.5307891211832005,1.5215091533358585,1.4804434075663506
26,-2.100436454845367,1.5029630428832703,1.4277574301073217,1.3664781677660092
27,0.1990238655383391,1.6077614035984542,1.690450924618978,1.6483863247546093
28,-2.030860810566504,1.499833026850156,1.584846562796583,1.5311464467439115
29,0.5858240182958552,1.593007991818501,1.7894847212896008,1.7786538893703006
30,1.1312959165743486,1.4972709129424566,1.6769918661070191,1.6451902480811305
31,-1.4730708949020288,1.4491337414502714,1.5723267599410637,1.518541880384539
32,-0.5170853792753172,1.4632654018028344,1.6442344155208475,1.6643174551797737
33,-2.1468810957650963,1.3816750430956815,1.5644069082689216,1.6330836597203087
34,-0.2540041450201591,1.5197217004451615,1.805806590149172,1.890053281296808
35,1.180804657214396,1.4223422041911322,1.6977621094455673,1.7955182432554246
36,-2.013719154937754,1.3875367775504104,1.5916478542003207,1.654286362904374
37,-0.3620378308750172,1.4994046980270002,1.7901580362293996,1.8836170167095474
38,2.0977628637853574,1.4074000264465985,1.6883138271112261,1.8066088428634914
39,0.9641873510803256,1.5061378863186008,1.5828585528451093,1.6548577430441698
40,0.7275624621483567,1.4421628056514213,1.4847859471328237,1.5290483021366779
41,0.067753916976665,1.3669009539725308,1.3936310424348755,1.4172630012690812
42,1.8723239686303292,1.2761103183208549,1.3089600969326651,1.3224628697378775
43,-0.9742678598198996,1.3602543919835994,1.2303683602545756,1.2172512851908899
44,-1.9342874789784916,1.3250668103401617,1.2551963460695912,1.3056075451228377
45,-0.1254451268551282,1.4349708959464904,1.514915273791263,1.5626768432660667
46,2.922386689540435,1.340924906022711,1.4236283616029815,1.4790835990797486
47,-0.5323752721140607,1.6252197080992157,1.3368172667744125,1.349132173795319
48,-1.0927483297499596,1.5308134794060577,1.2853370678886242,1.3500015029197827
49,-1.4205472390414031,1.4886318000853007,1.3247607822816645,1.4458969595722508
50,2.333015191329735,1.4901005246924346,1.4289029531269686,1.5900930523061754
51,4.671471074467104,1.6150919745442573,1.3417162187326155,1.4561021082088261
52,0.6608960566975242,2.2494147053993894,1.2607655274723237,1.3104015384169305
53,-0.510379725979826,2.1050016440977095,1.1856626118145566,1.2188480522546572
54,2.052117312371804,1.9711909378514822,1.1462514526176,1.2279972777249237
55,0.607476969421139,1.9721441900266627,1.0795389626292318,1.1291284062997573
56,1.707287940576352,1.8472078113894692,1.017793485647776,1.0537163402637513
57,0.5935831507115408,1.8209514477585074,0.9607091704458177,0.9731137888208239
58,-1.0581977011261068,1.7073221271661658,0.9079991829124981,0.9107370924656732
59,-0.575863249792552,1.6429332295278556,1.0076442623468398,1.0453007701916235
60,0.1034104427094506,1.5493576070297626,0.9954465652023279,1.0809956179099736
61,-1.6738551419208103,1.445043760991013,0.9400666197450688,1.0149218184469382
62,1.1349077194123591,1.489206892917763,1.2118286592190413,1.2577042679945276
63,0.581861933795258,1.4422912106812047,1.1402926230188677,1.1657920662091152
64,-0.7438096574830189,1.3587493995871258,1.0740211805291562,1.0875465018321793
65,-0.6244596470135422,1.3023067700745659,1.0796140829403158,1.1481513782835424
66,0.8692522669456526,1.2420349686007488,1.065944847226764,1.1827680563854277
67,0.6333888681022914,1.1965691893954484,1.0052199203778258,1.1000681248754884
68,-0.3920972285467949,1.137337507903491,0.9490933538681311,1.0268239116787268
69,-0.2899890367866975,1.0769476750266456,0.9202377687849042,1.0334057519883382
70,-2.742601305876491,1.0165327952972785,0.8843491199274919,1.0227217571443599
71,-1.3885661936034357,1.3955715095445542,1.5802316610475537,1.500726717055932
72,-5.719187084539756,1.4057719675923384,1.6332712986654376,1.633294555126475
73,3.492614956188711,2.476486849354504,3.1724483807145747,2.705306163874145
74,2.642060340574437,2.618548511297059,2.965974677220536,2.449983492663215
