,Date,Return
0,2000-01-03,
1,2000-01-04,-0.03910572545135116
2,2000-01-05,0.0017884577415701042
3,2000-01-06,-0.016071241828241378
4,2000-01-07,0.058076113912081784
5,2000-01-10,0.003430219997697659
6,2000-01-11,-0.011965396246296556
7,2000-01-12,-0.00994823561372915
8,2000-01-13,0.013543257574364143
9,2000-01-14,0.01357746430204343
10,2000-01-18,-0.00786759532513881
11,2000-01-19,0.008144356027003363
12,2000-01-20,-0.015306488600283497
13,2000-01-21,-0.002158411202302757
14,2000-01-24,-0.028342816715746455
15,2000-01-25,0.01135638871277056
16,2000-01-26,-0.007926332127234037
17,2000-01-27,-0.003994789610657801
18,2000-01-28,-0.031194594150797617
19,2000-01-31,0.027139045743856283
20,2000-02-01,0.009852578567879133
21,2000-02-02,0.0008865721701791784
22,2000-02-03,0.015063997754127367
23,2000-02-04,-0.004146350781131458
24,2000-02-07,-0.0015339038857259402
25,2000-02-08,0.013608572515233952
26,2000-02-09,-0.021004835649627074
27,2000-02-10,0.0019904830006112206
28,2000-02-11,-0.020309418246029054
29,2000-02-14,0.005858741722419625
30,2000-02-15,0.011313291478141752
31,2000-02-16,-0.014730870664256934
32,2000-02-17,-0.005170688869327922
33,2000-02-18,-0.021468809173481818
34,2000-02-22,-0.0025402110914567455
35,2000-02-23,0.011808047577537728
36,2000-02-24,-0.02013710909283095
37,2000-02-25,-0.0036203783087501717
38,2000-02-28,0.020977714830401784
39,2000-02-29,0.009641957118397881
40,2000-03-01,0.007275707020136579
41,2000-03-02,0.0006767918984864618
42,2000-03-03,0.018723912647457208
43,2000-03-06,-0.009742839872600273
44,2000-03-07,-0.01934295702150779
45,2000-03-08,-0.0012541159589358752
46,2000-03-09,0.02922369161659355
47,2000-03-10,-0.0053239970120680935
48,2000-03-13,-0.010927403078161757
49,2000-03-14,-0.014205390650523175
50,2000-03-15,0.023330572476446543
51,2000-03-16,0.046714527156150876
52,2000-03-17,0.006608330796922912
53,2000-03-20,-0.005103955272794725
54,2000-03-21,0.020521654855307547
55,2000-03-22,0.006074309153653479
56,2000-03-23,0.017072888532831954
57,2000-03-24,0.005936885868522035
58,2000-03-27,-0.01058234470953301
59,2000-03-28,-0.0057586316290182404
60,2000-03-29,0.001034028389303554
61,2000-03-30,-0.016739080767684822
62,2000-03-31,0.01134985337308958
63,2000-04-03,0.005818541336028993
64,2000-04-04,-0.0074380190969078885
65,2000-04-05,-0.006244976336526542
66,2000-04-06,0.008693061179204209
67,2000-04-07,0.0063336572690770865
68,2000-04-10,-0.003921047088065066
69,2000-04-11,-0.002900193890861047
70,2000-04-12,-0.027425636179342017
71,2000-04-13,-0.013885893754936762
72,2000-04-14,-0.05719218870339049
73,2000-04-17,0.03492632990675726
74,2000-04-18,0.026420770590199316
75,2000-04-19,-0.009301122133076212
76,2000-04-20,0.00480350418661768
77,2000-04-24,-0.010865235089553948
78,2000-04-25,0.041520726357670235
79,2000-04-26,-0.01128478293566526
80,2000-04-27,-0.00330647710804155
81,2000-04-28,-0.006207315968258076
82,2000-05-01,0.013568582453694411
83,2000-05-02,-0.019974133240236114
84,2000-05-03,-0.02341725936949257
85,2000-05-04,0.007548884672079703
86,2000-05-05,0.012119782158998005
87,2000-05-08,-0.0075115403201828634
88,2000-05-09,-0.008006854488646353
89,2000-05-10,-0.022556751426755395
90,2000-05-11,0.022851157267537614
91,2000-05-12,0.010838322347616947
92,2000-05-15,0.017286371627774022
93,2000-05-16,0.009679664199712557
94,2000-05-17,-0.010438792824689624
95,2000-05-18,-0.012271684674877048
96,2000-05-19,-0.01569288460778928
97,2000-05-22,-0.0075289078693426825
98,2000-05-23,-0.014725360342812466
99,2000-05-24,0.01630460423929181
100,2000-05-25,-0.017157102128328217
101,2000-05-26,0.001133521064357046
102,2000-05-30,0.03260879316142096
103,2000-05-31,0.0021930457852905594
104,2000-06-01,0.01750501170575225
105,2000-06-02,0.017419525430616867
106,2000-06-05,-0.004861313019712488
107,2000-06-06,-0.004460520216127084
108,2000-06-07,0.0069342928308702145
109,2000-06-08,-0.003920054119239347
110,2000-06-09,-0.0021273463016875382
111,2000-06-12,-0.011724488401990363
112,2000-06-13,0.01876592026972257
113,2000-06-14,0.0016938569145241722
114,2000-06-15,0.002114012133899612
115,2000-06-16,-0.008216701627293932
116,2000-06-19,0.01279026181437204
117,2000-06-20,-0.003578280784587551
118,2000-06-21,-0.0004224541532886761
119,2000-06-22,-0.015215395739646032
120,2000-06-23,-0.008583958256341728
121,2000-06-26,0.012878785418501515
122,2000-06-27,-0.007372500319651087
123,2000-06-28,0.002798683695327542
124,2000-06-29,-0.00944586826834648
125,2000-06-30,0.007585339330498542
126,2000-07-03,0.01376617202086905
127,2000-07-05,-0.018034655995383453
128,2000-07-06,0.007778576144102489
129,2000-07-07,0.01608061870695976
130,2000-07-10,-0.0016884968162113045
131,2000-07-11,0.002113842746126693
132,2000-07-12,0.006538873779837084
133,2000-07-13,0.00440048416598704
134,2000-07-14,0.009806117011753157
135,2000-07-17,-0.0016525813786886223
136,2000-07-18,-0.008175025397379687
137,2000-07-19,-0.00803349130822495
138,2000-07-20,0.013883494114294681
139,2000-07-21,-0.019502364454421772
140,2000-07-24,-0.00571305608429129
141,2000-07-25,0.0031923560392823624
142,2000-07-26,-0.00975844349313515
143,2000-07-27,-0.0034276526423727693
144,2000-07-28,-0.022570771768965603
145,2000-07-31,0.0063781094591428555
146,2000-08-01,0.006118886851054883
147,2000-08-02,0.00499559815074635
148,2000-08-03,0.006915494443735515
149,2000-08-04,0.005365960366386258
